,ATC,tensor
23,DP24,"-0.045166172087192535, 0.21406204998493195, 0.23045311868190765, 0.040152691304683685, -0.33244478702545166, 0.4336828291416168, 0.2820209860801697, 0.4886772036552429, 0.08913823962211609, 0.4756414592266083, 0.14288747310638428, 0.18575449287891388, -0.05189432203769684, 0.2869448959827423, 0.14635087549686432, -0.08432437479496002, 0.411275714635849, -0.027559109032154083, 0.07165398448705673, -0.21571502089500427, -0.2678063213825226, -0.01814713329076767, -0.14680548012256622, -0.026395674794912338, -0.019164854660630226, -0.09806358814239502, 0.01473968755453825, -0.07266278564929962, 0.1655925214290619, 0.2983236312866211, 0.24246244132518768, 0.27185070514678955, 0.23463980853557587, 0.16434738039970398, 0.04760071262717247, 0.32439807057380676, 0.5300648212432861, -0.007789094466716051, 0.02950095944106579, 0.15602165460586548, -0.2766762971878052, -0.058838121592998505, -0.357128381729126, -0.22332070767879486, 0.3114635944366455, 0.4883274734020233, -0.09446188807487488, 0.07489809393882751, -0.25686725974082947, 0.4974093735218048, -0.10943603515625, 0.10763861238956451, 0.2910051643848419, 0.279795378446579, -0.21168145537376404, 0.10317833721637726, 0.05887773633003235, 0.04024555906653404, 0.016966015100479126, 0.03564593940973282, 0.05278880149126053, -0.19793783128261566, 0.29161468148231506, 0.16105569899082184]"
24,DP25,"-0.2989977300167084, 0.3435138463973999, 0.43560388684272766, -0.10647410154342651, -0.44165441393852234, -0.23906534910202026, -0.4448114037513733, -0.07876837998628616, -0.30954208970069885, -0.3021547794342041, -0.33901992440223694, 0.23992815613746643, -0.22561125457286835, -0.022877003997564316, -0.2872942090034485, -0.3383285105228424, 0.023315897211432457, 0.3563757836818695, -0.5693922638893127, 0.12328558415174484, -0.1567469984292984, -0.39180806279182434, 0.04055104777216911, 0.37195855379104614, -0.15960347652435303, 0.5572344064712524, 0.24027779698371887, -0.19083747267723083, -0.21162742376327515, 0.23319925367832184, -0.1803390383720398, 0.17616166174411774, 0.16112035512924194, -0.17573709785938263, 0.15889666974544525, 0.5683408379554749, -0.3677447438240051, 0.2124091535806656, 0.24328678846359253, 0.0671328604221344, -0.05663499981164932, -0.26968666911125183, -0.36905285716056824, -0.18135730922222137, 0.10338640958070755, -0.01744772680103779, -0.0934947207570076, 0.000350296963006258, -0.24511921405792236, 0.6041617393493652, 0.015587403438985348, -0.4326740801334381, -0.18660080432891846, 0.14177480340003967, 0.4190177619457245, 0.09119408577680588, -0.25697407126426697, 0.03459957614541054, -0.06439736485481262, 0.028187144547700882, -0.038097936660051346, 0.19758982956409454, 0.2435520887374878, 0.16634218394756317]"
25,DP26,"0.02925070933997631, -0.14063259959220886, -0.3369988799095154, 0.23366275429725647, -0.13736948370933533, -0.2969651520252228, -0.10951627045869827, -0.23005011677742004, 0.14256088435649872, 0.1579575091600418, 0.05425727367401123, 0.41175487637519836, 0.1309926062822342, 0.12423545122146606, 0.0250118188560009, -0.6760574579238892, 0.41991952061653137, 0.521297812461853, -0.1987271010875702, -0.20146679878234863, -0.5242541432380676, -0.9756137728691101, 0.019652165472507477, -0.0934729054570198, -0.12275559455156326, -0.6096745729446411, -0.2889001667499542, -0.5891470313072205, 0.521997332572937, 0.280514657497406, 0.11547531187534332, 0.14894650876522064, -0.3859860301017761, -0.4026620090007782, -0.023492062464356422, -0.2700144052505493, 0.025935452431440353, 0.09332480281591415, 0.04992206022143364, 0.14652541279792786, -0.17133598029613495, -0.35320037603378296, 0.5782758593559265, 0.022569237276911736, 0.37927567958831787, 0.3837714195251465, 0.15474122762680054, 0.1484394073486328, -0.31160399317741394, -0.14138533174991608, -0.07587941735982895, 0.4972105026245117, -0.05249255895614624, 0.13036878407001495, -0.18195685744285583, -0.2183905839920044, 0.125723198056221, -0.010513265617191792, 0.3375307321548462, 0.19031332433223724, 0.046142853796482086, -0.13296577334403992, 0.2867165207862854, 0.012593314982950687]"
26,DP27,"0.09552431851625443, 0.003062708768993616, 0.12738372385501862, 0.21059980988502502, -0.49221423268318176, 0.19068658351898193, 0.09907352179288864, 0.15849865972995758, -0.07675963640213013, 0.03743964433670044, -0.2409885823726654, 0.5509090423583984, -0.12605568766593933, -0.25428932905197144, 0.1362486481666565, 0.08023016154766083, 0.480251669883728, 0.22112469375133514, 0.046585630625486374, 0.07712454348802567, -0.2969346344470978, 0.17677053809165955, -0.0403449647128582, -0.049165185540914536, 0.12477613985538483, 0.03587828204035759, 0.08703552186489105, -0.047790974378585815, -0.03465205058455467, 0.14359067380428314, 0.05656721815466881, 0.029575463384389877, 0.49038007855415344, 0.13581684231758118, -0.12742841243743896, -0.14580851793289185, -0.030785968527197838, -0.23898084461688995, 0.0499589629471302, 0.4676333963871002, 0.2173924297094345, -0.10869817435741425, -0.5281099081039429, -0.24006636440753937, 0.0398310124874115, 0.2864082157611847, -0.07530805468559265, 0.023127751424908638, 0.26157301664352417, -0.29212623834609985, -0.05440063029527664, -0.058081626892089844, 0.1807715892791748, -0.008992315270006657, 0.1579779088497162, 0.47440317273139954, -0.19571664929389954, 0.2842938005924225, -0.03647806867957115, -0.018900679424405098, 0.13940714299678802, 0.1568705141544342, 0.24322868883609772, -0.011096524074673653]"
27,DP28,"0.1311330646276474, 0.2811083495616913, -0.1081249862909317, 0.23754434287548065, -0.5264387130737305, 0.05602233111858368, 0.04108620434999466, -0.36462607979774475, -0.05451611056923866, 0.08014906197786331, -0.09755832701921463, 0.4994693100452423, 0.09934927523136139, -0.2735665440559387, 0.12418409436941147, 0.006707782857120037, 0.3247990310192108, 0.06204190105199814, -0.020167795941233635, -0.21115179359912872, -0.293663889169693, -0.024738607928156853, -0.014898049645125866, -0.018594492226839066, -0.1056499108672142, -0.15707829594612122, 0.46340543031692505, -0.12238319963216782, 0.1372961848974228, 0.44749289751052856, 0.1036469042301178, 0.09102726727724075, -0.1205596849322319, -0.02707713656127453, 0.15952737629413605, -0.1419983208179474, 0.0456654317677021, 0.07017871737480164, 0.10904186218976974, 0.431787371635437, 0.064150869846344, -0.13679715991020203, -0.119663767516613, -0.1541541963815689, 0.2701241672039032, 0.27358224987983704, 0.11345729976892471, 0.3986821472644806, -0.21500881016254425, -0.31956401467323303, -0.29967039823532104, -0.19681783020496368, 0.31148335337638855, -0.05037557706236839, 0.04163895919919014, 0.310771644115448, -0.23735776543617249, 0.04202330484986305, -0.1916012465953827, 0.08340998739004135, -0.012149394489824772, -0.13656723499298096, 0.07499810308218002, -0.2038658708333969]"
28,DP29,"-0.1500227153301239, -0.09782471507787704, -0.027990471571683884, 0.03572078049182892, 0.2504351735115051, 0.2109779715538025, 0.11950603127479553, 0.06372396647930145, 0.32132968306541443, 0.3189070522785187, -0.3895137906074524, -0.1640077531337738, -0.35756605863571167, -0.04056203365325928, -0.10026493668556213, -0.12842272222042084, 0.0037730426993221045, -0.07529009878635406, 0.14948266744613647, 0.039130520075559616, -0.17148353159427643, -0.3285447061061859, -0.021905096247792244, -0.06965402513742447, 0.21121159195899963, 0.44027289748191833, 0.010838482528924942, -0.00682460144162178, 0.026434339582920074, 0.18231892585754395, 0.0666690319776535, 0.0024629966355860233, -0.1161917895078659, -0.08921273797750473, -0.06836135685443878, -0.13370461761951447, -0.08293277770280838, -0.4429565370082855, 0.10002712905406952, 0.2503141760826111, -0.2816469371318817, -0.08558131754398346, -0.4221816062927246, -0.18631461262702942, 0.13588930666446686, -0.039867792278528214, -0.076339952647686, 0.24697090685367584, -0.31217506527900696, -0.20538300275802612, 0.12089043110609055, 0.16367574036121368, -0.17431335151195526, -0.16619300842285156, -0.009984193369746208, 0.2687302827835083, 0.05260154604911804, 0.16369199752807617, -0.09920769929885864, -0.5076703429222107, 0.16051730513572693, -0.07336845248937607, -0.25655266642570496, 0.13383428752422333]"
29,DP30,"-0.06243671104311943, -0.33179211616516113, -0.24810892343521118, 0.09981321543455124, -0.25304898619651794, 0.19151489436626434, 0.38875827193260193, 0.37734735012054443, 0.5610841512680054, 0.5569667816162109, 0.046399734914302826, 0.030839042738080025, -0.3153550624847412, 0.3399239778518677, -0.3114943206310272, 0.3452383577823639, 0.17612700164318085, 0.09825298190116882, -0.05013377219438553, 0.1607297956943512, -0.07752078771591187, -0.4512752890586853, 0.012321648187935352, 0.13357611000537872, 0.32089701294898987, 0.30875709652900696, -0.2073991447687149, 0.2726050317287445, 0.158005490899086, -0.10337596386671066, 0.14657311141490936, -0.01437548827379942, -0.06823708117008209, 0.17245882749557495, -0.05307479575276375, 0.07641659677028656, -0.10146322846412659, 0.3402653634548187, 0.11921834200620651, 0.34280404448509216, -0.05562408268451691, 0.026468543335795403, -0.2711416482925415, -0.01631700061261654, 0.29799339175224304, -0.08191807568073273, 0.044553160667419434, -0.15117765963077545, -0.14114618301391602, 0.007761392742395401, -0.21027831733226776, 0.00752956373617053, -0.4823510944843292, 0.19810685515403748, -0.22513309121131897, 0.024466922506690025, -0.09563980251550674, 0.03678828850388527, -0.05067376047372818, -0.5712857246398926, 0.07655054330825806, -0.054253119975328445, 0.005168485920876265, -0.031353604048490524]"
31,DP32,"0.12148620933294296, 0.18923787772655487, -0.1747256964445114, 0.11425304412841797, -0.1642180234193802, -0.2696097493171692, -0.3694044053554535, -0.10062072426080704, 0.09889040887355804, -0.3761332929134369, -0.27458301186561584, 0.21292421221733093, -0.17092755436897278, 0.27492308616638184, -0.19701242446899414, -0.15882594883441925, -0.7480695247650146, 0.24434182047843933, -0.2233286052942276, -0.27957049012184143, -0.04819706082344055, 0.41808032989501953, 0.20233313739299774, 0.4033545255661011, -0.2756292521953583, -0.020996730774641037, -0.06700091063976288, -0.6905731558799744, 0.25682052969932556, -0.06835195422172546, 0.36054182052612305, -0.37492623925209045, -0.25846946239471436, -0.3000110387802124, 0.16779011487960815, 0.18898029625415802, 0.033008746802806854, -0.3951725363731384, -0.03004920855164528, 0.14214347302913666, -0.06276103109121323, 0.24858373403549194, -0.04621363803744316, 0.1606322079896927, 0.4466959834098816, -0.42340216040611267, -0.0013012639246881008, 0.15686559677124023, 0.12018492817878723, 0.162562295794487, -0.18010154366493225, -0.10564108937978745, 0.2715916633605957, -0.1396312713623047, -0.6060337424278259, -0.2393794059753418, 0.602353572845459, -0.1885567456483841, 0.12065566331148148, -0.6813144683837891, -0.34035423398017883, -0.17714476585388184, 0.1845887452363968, 0.08022592216730118]"
32,DP33,"0.14623598754405975, -0.1014459952712059, -0.44153425097465515, -0.22221669554710388, 0.1735205054283142, -0.16043782234191895, -0.2583800256252289, -0.41253533959388733, -0.22257451713085175, -0.24068325757980347, -0.04730574041604996, 0.3968411982059479, 0.18876710534095764, 0.12167574465274811, 0.084223672747612, -0.4395656883716583, 0.1010541319847107, -0.1159358099102974, -0.07880135625600815, 0.10101648420095444, -0.42342206835746765, -0.14915533363819122, -0.08169562369585037, -0.1748497188091278, -0.48096567392349243, -0.09773638844490051, -0.03608659654855728, -0.3511313498020172, 0.12516698241233826, -0.7530878782272339, -0.012344932183623314, 0.18147848546504974, -0.0312885120511055, 0.09582468867301941, 0.02741050347685814, 0.08569399267435074, -0.23944959044456482, 0.27259838581085205, 0.4908600151538849, 0.15841130912303925, -0.07745753228664398, 0.012079335749149323, 0.08800386637449265, -0.20073747634887695, 0.20789192616939545, 0.2230745404958725, 0.03513956069946289, -0.5498290061950684, 0.22488488256931305, -0.249872088432312, 0.09684279561042786, -0.3127273619174957, 0.39740628004074097, -0.007215734105557203, -0.020648261532187462, 0.18611103296279907, -0.02830452099442482, 0.03747549280524254, -0.03673749417066574, -0.22641755640506744, 0.1327584683895111, 0.22856998443603516, 0.4607735872268677, -0.5184749364852905]"
33,DP34,"-0.04899108409881592, -0.04931063950061798, -0.30970704555511475, 0.19741789996623993, 0.16390597820281982, -0.049212850630283356, -0.320438951253891, 0.032474078238010406, -0.26095250248908997, -0.47932344675064087, -0.21521541476249695, 0.04558820649981499, 0.1537187248468399, 0.140508234500885, 0.008382796309888363, -0.393279492855072, -0.1775687336921692, 0.029300032183527946, -0.6315080523490906, -0.276743620634079, -0.4662628471851349, 0.3553042411804199, 0.08534935116767883, -0.21761873364448547, -0.005573340225964785, -0.04909556359052658, -0.07923717796802521, -0.2519271671772003, 0.23716431856155396, -0.025859862565994263, 0.08281721919775009, 0.12611116468906403, 0.22630205750465393, -0.24324028193950653, 0.15659387409687042, 0.37511035799980164, 0.02586691454052925, -0.3205680251121521, -0.01350095123052597, 0.17092575132846832, -0.007330879103392363, -0.24109050631523132, 0.12980154156684875, 0.09286236763000488, -0.09846251457929611, 0.09355008602142334, 0.25560277700424194, -0.38136526942253113, 0.8025680780410767, -0.1610451340675354, 0.2337275594472885, -0.4442197382450104, 0.18965236842632294, 0.29904913902282715, 0.24155282974243164, 0.22875837981700897, -0.2787054181098938, -0.06759876012802124, 0.09064895659685135, -0.740745484828949, 0.18754053115844727, 0.10485078394412994, 0.010181454941630363, 0.014767560176551342]"
35,DP36,"0.11440127342939377, 0.20441867411136627, -0.3682901859283447, -0.3114868998527527, 0.1140347495675087, 0.17131254076957703, -0.2184370458126068, 0.19378042221069336, 0.0062952893786132336, -0.2934606671333313, -0.10944914817810059, 0.01688533090054989, 0.23348307609558105, 0.07242397218942642, -0.12781259417533875, -0.19274578988552094, -0.32824578881263733, 0.23918694257736206, -0.41146618127822876, -0.25093117356300354, -0.7130334377288818, 0.13788017630577087, 0.11873509734869003, 0.39365410804748535, -0.09647440910339355, 0.2654975950717926, 0.09406817704439163, 0.009737206622958183, 0.3036441504955292, 0.06077494099736214, -0.19805867969989777, 0.211449533700943, -0.22168445587158203, -0.06827203184366226, -0.07783527672290802, 0.2918998599052429, -0.04083338379859924, -0.30492785573005676, 0.15626464784145355, 0.08710725605487823, -0.13663332164287567, -0.1785556674003601, 0.11102621257305145, 0.007346814498305321, 0.07501885294914246, -0.025813261047005653, 0.0036516168620437384, -0.14641425013542175, 0.9348500370979309, -0.329889178276062, 0.17069467902183533, -0.2072584629058838, 0.12388406693935394, -0.012179514393210411, 0.16851140558719635, 0.3961814343929291, -0.07517258077859879, 0.14062148332595825, -0.3278995156288147, -0.3909943103790283, 0.06818349659442902, 0.1688399314880371, -0.0327976793050766, 0.03418269753456116]"
36,DP37,"0.15804964303970337, -0.2367527037858963, -0.4217473864555359, -0.14874380826950073, -0.1310591846704483, 0.0013280360726639628, -0.4049449861049652, -0.23426182568073273, 0.456868439912796, 0.5403605699539185, 0.12877848744392395, 0.28852882981300354, -0.10000018775463104, -0.10746098309755325, 0.17041520774364471, -0.20015162229537964, 0.4051588475704193, 0.015483777970075607, 0.014910419471561909, 0.0635899230837822, -0.3256893754005432, -0.6000534296035767, -0.11859479546546936, -0.25330671668052673, -0.1219361200928688, -0.16439230740070343, -0.013364717364311218, 0.2423633635044098, 0.14876621961593628, 0.008527982980012894, 0.1084216982126236, 0.15389874577522278, 0.12749826908111572, 0.02938094735145569, 0.20801860094070435, 0.040727026760578156, -0.032857269048690796, -0.3462270200252533, 0.18105638027191162, 0.20517119765281677, 0.21696323156356812, 0.11757555603981018, 0.5115702748298645, -0.07113467156887054, 0.036443665623664856, -0.13420066237449646, -0.003186321584507823, 0.35254740715026855, -0.22943225502967834, -0.00527590187266469, -0.1767812818288803, -0.20383137464523315, -0.5946735143661499, -0.09959748387336731, 0.32019779086112976, 0.12828269600868225, -0.26001015305519104, -0.035299208015203476, 0.2870733439922333, 0.36782386898994446, -0.2693122327327728, 0.5821437239646912, -0.06494511663913727, -0.3107542395591736]"
37,DP38,"-0.032277800142765045, 0.2578946053981781, -0.0877857357263565, 0.05324836075305939, -0.334645539522171, -0.04242661967873573, 0.2649516761302948, 0.45264315605163574, -0.009641386568546295, 0.1001167967915535, -0.19608110189437866, -0.1787727028131485, -0.08439502120018005, -0.03876983001828194, 0.17158490419387817, 0.07756365090608597, 0.38176923990249634, 0.1376611590385437, 0.05012792721390724, 0.08586056530475616, 0.03344417363405228, -0.11412104964256287, 0.15095151960849762, 0.09250593185424805, 0.09420906752347946, 0.2600606679916382, -0.024004757404327393, -0.11439243704080582, -0.23841291666030884, -0.18280692398548126, 0.048436637967824936, 0.015024258755147457, -0.10428697615861893, 0.11889389902353287, -0.16969305276870728, -0.04057113453745842, -0.06712167710065842, 0.30529242753982544, 0.0038037681952118874, -0.016036607325077057, 0.07880814373493195, -0.30378490686416626, -0.3671112060546875, -0.4735770523548126, -0.018484851345419884, 0.160890132188797, -0.03834712505340576, -0.46222782135009766, 0.21849241852760315, 0.14875173568725586, -0.25188878178596497, -0.3173592984676361, 0.49106109142303467, 0.3587702810764313, 0.13995222747325897, 0.4867248237133026, 0.19679765403270721, 0.4070882499217987, 0.0346655547618866, 0.08019515126943588, 0.18263313174247742, 0.2675633728504181, 0.23074211180210114, -0.21435841917991638]"
